id,human_readable_id,title,type,description,text_unit_ids,frequency,degree,x,y
6d0705d6-8a8b-4aae-a263-2832f78311fe,0,TI-722511,SUPPORT TICKET,"Support incident opened 27.03.24 (Ticket name: KF11: Management Report not working, neither in UAT nor in PROD). Created via Internet; assigned owner Employee 13. Records multiple portal notes, follow-up activities and a closure on 11.04.24 with closure text: ""Best-practice cipher suites activated with IISCRYPTO and AOS servers restarted"". The ticket documents reproducible errors when accessing F&O → General Ledger → Financial Reports → Edit across environments and users, investigation steps, communications with Avanade, and references to an internal JIRA ticket reporting the same error.",['8e212755d57159d754e802f915b945accb4105e418220c784acf82bd415965c3076cec62aaa3470bc84b63dd6fc66d1c00ce9e6aafbaabd7c14bfab0ef163bea'],1,18,0.0,0.0
37c7e9bb-e52d-42bf-9789-c898e4f67ac6,1,CUSTOMER COMPANY 11,ORGANIZATION,"CUSTOMER COMPANY 11 is the customer organization and tenant context for which the ""Management Reporting & Financial Reporting Infrastructure Standard"" was written; the document describes the D365 Finance & Operations financial reporting infrastructure that operates in Customer Company 11's UAT and PROD environments. Support tickets TI-722423 and TI-722511 were opened on behalf of CUSTOMER COMPANY 11 (TI-722423 references Contact Person 8 and Contact Person 2); the incident described in TI-722511 affects EMEA finance users across the same UAT and PROD tenant environments.","['8e212755d57159d754e802f915b945accb4105e418220c784acf82bd415965c3076cec62aaa3470bc84b63dd6fc66d1c00ce9e6aafbaabd7c14bfab0ef163bea'
 '0157d2d4ab01e982312b150b3a1463757a10dab4400fdbf531a79a1e28a2bd077d625991339124303be912c30f4a30260b757fd9a2160800d47da29f2ae63cb6'
 'c930b6d7a49b2a0c3498ab34029937696662a7056fbf0d57b18d74f97c11931e71cefd3751e53cf78fedeaf97827b5b8140d85775cb6719fecab0c5693dffa2f']",3,5,0.0,0.0
b01acf39-76ba-4be8-9dff-ae66dbbe75a7,2,CONTACT PERSON 7,PERSON,Named contact for the ticket who reported or is the primary customer contact for the incident.,['8e212755d57159d754e802f915b945accb4105e418220c784acf82bd415965c3076cec62aaa3470bc84b63dd6fc66d1c00ce9e6aafbaabd7c14bfab0ef163bea'],1,1,0.0,0.0
73f0d00d-d564-4fc6-a261-b6e6f75ca2f1,3,EMPLOYEE 13,PERSON,"EMPLOYEE 13 is the support engineer and ticket owner who acted as the incident investigator and coordinator. They recreated the FRDB in the D365FO_INTE environment and executed the Data Mart Reset as remediation steps, opened a Microsoft support ticket (#2404050050000982), and are listed as the owner of TI-722511. EMPLOYEE 13 authored portal notes and posted status updates about scheduling and progress while coordinating updates and communications with stakeholders and external support.","['8e212755d57159d754e802f915b945accb4105e418220c784acf82bd415965c3076cec62aaa3470bc84b63dd6fc66d1c00ce9e6aafbaabd7c14bfab0ef163bea'
 '624685755e9c4256de941c1b9a74d6447df6d5708b09f7a8bbffb2fc2af0383bdfb662d3712578e73a1b26bd0f8d9bb048253436a4e3f6489287c59137cc4e09']",2,7,0.0,0.0
eb575e86-1528-4ea5-9479-95674ff9c3db,4,EMPLOYEE 14,PERSON,"EMPLOYEE 14 served as the contact person and primary reporter for the incident involving connectivity problems with the TRAIN CE server, submitting the initial message and requesting the ticket be reopened when the issue recurred on 09.12.24. The ticket was assigned to EMPLOYEE 14 on 26.11.24; they therefore functioned both as the assigned support/operations contact and as a participant in the ticket workflow, receiving assignment actions and acting as point of contact throughout the ticket lifecycle.  

As support staff, EMPLOYEE 14 added portal notes (portal messages show a NO‑REPLY address employee14@consultingcompany.ch), forwarded the case to a system engineer, and participated in calls and triage with Artur, Ms. X and Avanade. They reported the error reproduced across all environments, users and machines, and investigated Report Designer performance—observing it was extremely slow except when accessed directly via 001‑srv‑aos72. EMPLOYEE 14 logged the next remediation step as a Data Mart Reset and recommended opening a Microsoft support ticket if the reset did not resolve the issue.","['8e212755d57159d754e802f915b945accb4105e418220c784acf82bd415965c3076cec62aaa3470bc84b63dd6fc66d1c00ce9e6aafbaabd7c14bfab0ef163bea'
 '624685755e9c4256de941c1b9a74d6447df6d5708b09f7a8bbffb2fc2af0383bdfb662d3712578e73a1b26bd0f8d9bb048253436a4e3f6489287c59137cc4e09'
 'cf5c0a229b95de7ce8b153614a0c965081d0e96927a793df26435d50208f9b497ab20df7f9c97bbf5662dad69b49b0ca5950f40a53287572e9e79e31c759f3ba'
 '3d1aaea6391e7df51a2a42a8c7c0a47f02763542818404f1986e9d1de8a7b6042de29a49f32a5a6aa4bf49bb1944b93f48f52a850e46d1180e9770c9065e161c']",4,11,0.0,0.0
ccd7d9bd-eb4a-4930-8f8b-3cdd6e469166,5,MICROSOFT CRM PORTALS,APPLICATION/SERVICE,"MICROSOFT CRM PORTALS is a customer‑facing CRM portal used to open support tickets, upload and download file attachments (including PDFs and screenshots), and post incident activity. Ticket history entries are labeled like ""Microsoft CRM Portals, #"" and show that the portal created tickets, generated system notes (several ""New portal note"" entries), and attached files referenced in ticket activity. The portal acts as a logging and communication channel between external users and internal teams (including references to an internal Mexico ticket), capturing user‑reported symptoms, screenshots, status updates, and portal‑generated status messages (for example entries showing an issue marked resolved then later reporting sensors unhealthy again), and serves as the source of the portal’s incident history and status messages.","['8e212755d57159d754e802f915b945accb4105e418220c784acf82bd415965c3076cec62aaa3470bc84b63dd6fc66d1c00ce9e6aafbaabd7c14bfab0ef163bea'
 '624685755e9c4256de941c1b9a74d6447df6d5708b09f7a8bbffb2fc2af0383bdfb662d3712578e73a1b26bd0f8d9bb048253436a4e3f6489287c59137cc4e09'
 '75aa290785beb89a5d1c1eb56db550f1f14fb463c7bfd904e331e479bb384ff1ef2fb3ad655376ec4b1e4fc1be0e4a84dcbb63e5e60c7135f211ad99926b50c5'
 'd89da77775d31a1846335e0c6df1f5e39da5351bcebb15e7ad3ae8f49880a51dd4d11bdbda7a0cd06892c9c131813db8be4ecca81471f87681c533980f667fd7']",4,13,0.0,0.0
495b4c44-4d05-427d-895a-26b2537fddab,6,BU CUSTOMER SERVICES RUN,IT TEAM/DEPARTMENT,"BU CUSTOMER SERVICES RUN is an internal business unit/team at Consulting Sample Company responsible for run‑time and customer‑service operations. Tickets routed to ""BU Customer Services Run"" (often noted in ticket notes as the assignment target and sometimes appearing as the no‑reply sender BU_CustomerServices_RUN) become the operational owner during the CRM workflow—typically the first assignee after Admin/CRM—and receive automated notifications. The unit operates an internal mailbox/team that handles ongoing incident response and operational requests (for example, it was assigned to manage a customer request about the FileZilla Server on the virtual server KF14).","['8e212755d57159d754e802f915b945accb4105e418220c784acf82bd415965c3076cec62aaa3470bc84b63dd6fc66d1c00ce9e6aafbaabd7c14bfab0ef163bea'
 '75aa290785beb89a5d1c1eb56db550f1f14fb463c7bfd904e331e479bb384ff1ef2fb3ad655376ec4b1e4fc1be0e4a84dcbb63e5e60c7135f211ad99926b50c5'
 'd89da77775d31a1846335e0c6df1f5e39da5351bcebb15e7ad3ae8f49880a51dd4d11bdbda7a0cd06892c9c131813db8be4ecca81471f87681c533980f667fd7'
 '15912b39ea3765c74b4408719139382e616a786cbdb170a48b70393a86c72cb73c34c52dd63faf188608ee7cd368a9a4ae214959f09162e76d4c60d49d571a7b'
 '9ae60248fdeacd78507615824c81352d3b7b17c47dab997df5429f35f1bf7fc7adb64e1df4eb62f92340e089ba3367078ee301bda75c9733868ed605c7439c95'
 '82d04b1d01088ae4d6081a114e68d594663b35aeeeba55e482e4c6fe63227be2031d1e4f2cec4f0adf9c8d706ca391a8e2e4e20121bb80e6265dfc89de9c617e']",6,12,0.0,0.0
49146e09-4f8b-417f-857e-043704af273e,7,SYSTEM ENGINEER,IT TEAM/DEPARTMENT,"SYSTEM ENGINEER — The role/team that received the forwarded ticket TI-1385257 (forwarded by Employee 16) and was designated as the responsible technical assignee/escalation during initial triage. The System Engineer is accountable for reproducing and investigating the error across environments and users, performing technical remediation and system-level changes, and resolving the incident. Actions attributed to this role include repair installations and configuration checks/updates on the CE Train server and ADFS, with repair work recorded on 02.12.24.","['8e212755d57159d754e802f915b945accb4105e418220c784acf82bd415965c3076cec62aaa3470bc84b63dd6fc66d1c00ce9e6aafbaabd7c14bfab0ef163bea'
 '75aa290785beb89a5d1c1eb56db550f1f14fb463c7bfd904e331e479bb384ff1ef2fb3ad655376ec4b1e4fc1be0e4a84dcbb63e5e60c7135f211ad99926b50c5'
 'cf5c0a229b95de7ce8b153614a0c965081d0e96927a793df26435d50208f9b497ab20df7f9c97bbf5662dad69b49b0ca5950f40a53287572e9e79e31c759f3ba'
 '3d1aaea6391e7df51a2a42a8c7c0a47f02763542818404f1986e9d1de8a7b6042de29a49f32a5a6aa4bf49bb1944b93f48f52a850e46d1180e9770c9065e161c']",4,5,0.0,0.0
98532579-158f-4829-9b60-07f412eb80ce,8,CRM DEVELOPMENT,IT TEAM/DEPARTMENT,"CRM DEVELOPMENT is the CRM sub-team responsible for application-level development, automation and diagnostics within the organization’s ticketing/CRM system. The team appears in portal and log activity as ""ApplicationUser, CRM Development,"" indicating actions recorded under a service or application account that represent the team’s automated or manual interactions with workflows. CRM DEVELOPMENT authors status checks and scheduling notes, implements development/automation features, and performs diagnostics and application changes that advance or pause tickets and workflow steps. Log entries sometimes show the team in a ""Waiting"" state, suggesting they are either awaiting input or are the party responsible for the next action or status update in the workflow. In summary, CRM DEVELOPMENT functions as the technical owner for CRM application changes, automation logic and operational diagnostics tied to the ticketing/CRM lifecycle.","['8e212755d57159d754e802f915b945accb4105e418220c784acf82bd415965c3076cec62aaa3470bc84b63dd6fc66d1c00ce9e6aafbaabd7c14bfab0ef163bea'
 '624685755e9c4256de941c1b9a74d6447df6d5708b09f7a8bbffb2fc2af0383bdfb662d3712578e73a1b26bd0f8d9bb048253436a4e3f6489287c59137cc4e09'
 '15912b39ea3765c74b4408719139382e616a786cbdb170a48b70393a86c72cb73c34c52dd63faf188608ee7cd368a9a4ae214959f09162e76d4c60d49d571a7b']",3,6,0.0,0.0
1ac66670-acc7-4c31-a22e-8179a3f5a5b6,9,APPLICATIONUSER,SERVICE ACCOUNT,"APPLICATIONUSER is an automated/service account (a non‑human, process-level identity) used by the CRM and web-portal systems. Logs and portal activity reference it as ""ApplicationUser, CRM Development | WEB"" and ""ApplicationUser, CRM Development,"" and it is observed performing automated actions such as classifying ticket priority and other CRM/portal workflows. The account is therefore associated with the CRM Development function and is used programmatically by the CRM/WEB stack to make or record system changes.

Inferred operational and governance notes: APPLICATIONUSER should be treated as a managed service account (documented owner: CRM Development), scoped with least privilege for the specific ticketing and portal operations it performs, and instrumented with dedicated logging/alerting. Credentials or secrets for APPLICATIONUSER should be rotated and stored in a secrets manager (or replaced by a platform-managed identity/service principal where possible), and its use controlled by change/runbook processes and regular access reviews to reduce abuse or drift.","['8e212755d57159d754e802f915b945accb4105e418220c784acf82bd415965c3076cec62aaa3470bc84b63dd6fc66d1c00ce9e6aafbaabd7c14bfab0ef163bea'
 '15912b39ea3765c74b4408719139382e616a786cbdb170a48b70393a86c72cb73c34c52dd63faf188608ee7cd368a9a4ae214959f09162e76d4c60d49d571a7b']",2,3,0.0,0.0
